term,coef,exp_coef
period_bin_13-24,0.47963273720826516,1.6154809871725915
period_bin_25-36,-0.015261638534581753,0.9848542300736278
period_bin_37-60,-0.12328304346056497,0.8840134129311491
period_bin_4-6,0.8113404524626301,2.2509232209105705
period_bin_60+,-0.2005933710052158,0.8182450860926304
period_bin_7-12,0.7335397751056305,2.08243894209251
sex_Male,-0.030409069301669527,0.9700486352567793
smoking_status_clean_Ex-Smoker,-0.3369736343545876,0.7139276628181878
smoking_status_clean_Non-Smoker,-0.4112312741879577,0.6628336175659677
smoking_status_clean_Unknown,-0.049311084794155816,0.9518849666960653
primary_site_group_Nasopharynx,-0.2783398629401649,0.7570394881215169
primary_site_group_Oropharynx,0.19695758671244482,1.2176923932730177
primary_site_group_Other_HNC,0.20886833390206513,1.2322827379887196
subsite_clean_Glottis,-0.2883395928281048,0.7495070218071215
subsite_clean_Lat Wall,0.07413118497960058,1.0769480756410905
subsite_clean_Post Wall,0.2597373533947928,1.296589497110621
subsite_clean_Soft Palate,-0.17014617978526048,0.8435414988681609
subsite_clean_Subglottis,0.20063694499394094,1.2221809723460706
subsite_clean_Supraglottis,0.13014174449854732,1.138989817423675
subsite_clean_Tonsil,-0.21838562099914016,0.8038154137907816
subsite_clean_Tonsil Pillar,0.007093423767936746,1.0071186416901854
subsite_clean_Tonsillar Fossa,-0.3355460129323221,0.7149476091189396
subsite_clean_Trans- Glottis,-0.19219765794059504,0.8251437561564525
subsite_clean_Uvula,-0.12025718230920206,0.8866923658003237
subsite_clean_Vallecula,0.1761900407664243,1.1926646920273571
subsite_clean_nan,-0.06947152903808092,0.9328866931879792
stage_I,-0.46911030228422984,0.6255585788105499
stage_II,-0.42091601693959074,0.6564452293735851
stage_III,-0.2529617772887249,0.7764975610986068
stage_IV,0.10974322026556294,1.1159914696705928
stage_IVA,0.2820462364046841,1.325840020645361
stage_IVB,0.9334346224128015,2.5432292261094824
stage_IVC,-0.020409499921343072,0.9797973642007672
stage_Other,0.0685592171489591,1.0709640425104925
stage_X,-0.04176329214918175,0.9590967794426059
stage_nan,-0.026293489941759562,0.974049174018773
hpv_clean_HPV_Positive,-0.8701387264251389,0.41889343362808473
hpv_clean_HPV_Unknown,-0.09839641774637262,0.9062895632679222
hpv_clean_nan,-0.21923009031432916,0.8031369028699078
age,0.270108810463556,1.310106996327459
ecog_ps,0.2126934652373646,1.2370054079618373
smoking_py_clean,0.07099259265975494,1.0735732735163896
time_since_rt_days,0.2694384965152612,1.3092291075974636
treatment,-0.7143782255252571,0.48949637354598446
treat_x_period_bin_13-24,0.000531278472654829,1.0005314196260586
treat_x_period_bin_25-36,0.30599608610472406,1.3579769915577593
treat_x_period_bin_37-60,-0.08084438415751337,0.9223372105594725
treat_x_period_bin_4-6,-0.26078585023954226,0.7704458927533484
treat_x_period_bin_60+,-0.33436503084490404,0.7157924482104756
treat_x_period_bin_7-12,0.18978151229984955,1.208985420354548
