term,coef,exp_coef
period_bin_13-24,0.7996697821298479,2.2248061364345357
period_bin_25-60,0.29510502293852403,1.3432674251707537
period_bin_4-6,1.032098139863289,2.8069490323140314
period_bin_60+,0.29317890973805644,1.3406826301543886
period_bin_7-12,0.9777648336717643,2.658507389867998
sex_Male,0.049223692374042345,1.0504553033011212
smoking_status_clean_Ex-Smoker,-0.3977349959165766,0.6718400444285639
smoking_status_clean_Non-Smoker,-0.46488124010075255,0.6282097068812039
smoking_status_clean_Unknown,-0.38194771969088903,0.6825307351904628
primary_site_group_Nasopharynx,-0.3237285086568844,0.7234466252164686
primary_site_group_Oropharynx,0.31172434539956434,1.3657781581026163
primary_site_group_Other_HNC,0.27981525674903,1.3228853956123157
subsite_clean_Glottis,-0.17810644444545076,0.8368533403579119
subsite_clean_Lat Wall,0.06563965175117656,1.0678418528858653
subsite_clean_Post Wall,0.28592190617489677,1.3309885092097198
subsite_clean_Soft Palate,-0.3013761178578074,0.7397994686210679
subsite_clean_Subglottis,0.26354509159525297,1.3015359819521939
subsite_clean_Supraglottis,0.24007234731145716,1.2713411251066467
subsite_clean_Tonsil,-0.3046682888699091,0.7373679269773284
subsite_clean_Tonsil Pillar,-0.16657930454513475,0.8465556785602663
subsite_clean_Tonsillar Fossa,-0.45662122706661856,0.6334202170641147
subsite_clean_Trans- Glottis,-0.6028173707433381,0.5472676063203684
subsite_clean_Uvula,-0.47242037233581596,0.6234913593014779
subsite_clean_Vallecula,0.19321056542010742,1.2131382115842404
subsite_clean_nan,-0.04391325190778795,0.9570369750039464
stage_I,-0.6104514069698078,0.5431056520556481
stage_II,-0.5151549592699163,0.5974080135356546
stage_III,-0.2160236462734399,0.8057162494614716
stage_IV,0.385474132936481,1.4703112792071233
stage_IVA,0.270609090504467,1.3107625806833905
stage_IVB,1.109185310730383,3.0318873419182157
stage_IVC,-0.06849809758518285,0.9337952365677272
stage_Other,0.3501561914515837,1.419289212124091
stage_X,-0.07562264119137772,0.9271660148163638
stage_nan,0.3001208690799301,1.350021973628777
hpv_clean_HPV_Positive,-1.0188414250685633,0.36101295853720583
hpv_clean_HPV_Unknown,-0.16383156111813713,0.8488849950781471
hpv_clean_nan,-0.3212196281898045,0.7252639450893578
age,0.28648365232055284,1.3317363969165323
ecog_ps,0.1902180075455347,1.209513251932242
smoking_py_clean,0.06494911186022091,1.0671047200283288
time_since_rt_days,0.22045552182009936,1.2466444750278547
treatment,-0.9709567029167692,0.3787205416834875
treat_x_period_bin_13-24,0.21683649056176407,1.2421409837578663
treat_x_period_bin_25-60,0.34217225739651613,1.408002815525032
treat_x_period_bin_4-6,-0.21237666551617781,0.808660045840623
treat_x_period_bin_60+,-0.22928484069774613,0.7951020238317912
treat_x_period_bin_7-12,0.5266660918094638,1.6932776555643416
